Wavenumber,Intensity
1757.4398,3.485985
1759.3035,3.473767
1761.1671,3.415946
1763.0308,3.386260
1764.8945,3.405604
1766.7581,3.435884
1768.6218,3.415952
1770.4855,3.351925
1772.3491,3.289724
1774.2128,3.290452
1776.0765,3.295600
1777.9401,3.289185
1779.8038,3.248924
1781.6675,3.231637
1783.5312,3.248051
1785.3948,3.203865
1787.2585,3.202903
1789.1222,3.209131
1790.9858,3.149224
1792.8495,3.098558
1794.7132,3.149690
1796.5768,3.168876
1798.4405,3.147998
1800.3042,3.122457
1802.1678,3.120728
1804.0315,3.137951
1805.8952,3.163187
1807.7589,3.145489
1809.6225,3.167047
1811.4862,3.194108
1813.3499,3.200614
1815.2135,3.246860
1817.0772,3.274035
1818.9409,3.251619
1820.8045,3.299778
1822.6682,3.346389
1824.5319,3.397726
1826.3955,3.475826
1828.2592,3.507896
1830.1229,3.537215
1831.9865,3.593442
1833.8502,3.601719
1835.7139,3.604384
1837.5776,3.612129
1839.4412,3.614694
1841.3049,3.622205
1843.1686,3.650388
1845.0322,3.637473
1846.8959,3.602532
1848.7596,3.559010
1850.6232,3.528483
1852.4869,3.500639
1854.3506,3.465316
1856.2142,3.402151
1858.0779,3.364575
1859.9416,3.347738
1861.8052,3.325669
1863.6689,3.323201
1865.5326,3.344923
1867.3963,3.321402
1869.2599,3.297111
1871.1236,3.311647
1872.9873,3.351995
1874.8509,3.378386
1876.7146,3.404615
1878.5783,3.385883
1880.4419,3.372239
1882.3056,3.399741
1884.1693,3.446491
1886.0329,3.485145
1887.8966,3.533738
1889.7603,3.537396
1891.6240,3.561636
1893.4876,3.607663
1895.3513,3.655303
1897.2150,3.691830
1899.0786,3.716808
1900.9423,3.741402
1902.8060,3.797058
1904.6696,3.862219
1906.5333,3.937863
1908.3970,3.983851
1910.2606,4.032188
1912.1243,4.034709
1913.9880,4.069956
1915.8516,4.124892
1917.7153,4.187746
1919.5790,4.192317
1921.4427,4.179788
1923.3063,4.199434
1925.1700,4.242443
1927.0337,4.264301
1928.8973,4.289522
1930.7610,4.328156
1932.6247,4.319058
1934.4883,4.249798
1936.3520,4.235497
1938.2157,4.260078
1940.0793,4.307154
1941.9430,4.302382
1943.8067,4.290327
1945.6704,4.311241
1947.5340,4.332110
1949.3977,4.333650
1951.2614,4.342986
1953.1250,4.370234
1954.9887,4.381738
1956.8524,4.359328
1958.7160,4.365716
1960.5797,4.343601
1962.4434,4.340855
1964.3070,4.356864
1966.1707,4.332696
1968.0344,4.293861
1969.8980,4.313367
1971.7617,4.312142
1973.6254,4.314050
1975.4891,4.329609
1977.3527,4.318802
1979.2164,4.319204
1981.0801,4.339083
1982.9437,4.349120
1984.8074,4.347348
1986.6711,4.357480
1988.5347,4.391198
1990.3984,4.380147
1992.2621,4.357443
1994.1257,4.373136
1995.9894,4.422494
1997.8531,4.429939
1999.7167,4.448893
2001.5804,4.460866
2003.4441,4.486380
2005.3078,4.522836
2007.1714,4.555707
2009.0351,4.563387
2010.8988,4.593472
2012.7624,4.650164
2014.6261,4.699435
2016.4898,4.746211
2018.3534,4.755305
2020.2171,4.777021
2022.0808,4.824895
2023.9444,4.819048
2025.8081,4.840934
2027.6718,4.875338
2029.5355,4.912083
2031.3991,4.924694
2033.2628,4.965243
2035.1265,5.011853
2036.9901,5.060986
2038.8538,5.086642
2040.7175,5.143064
2042.5811,5.207732
2044.4448,5.250835
2046.3085,5.275466
2048.1721,5.304244
2050.0358,5.320193
2051.8995,5.348985
2053.7631,5.386636
2055.6268,5.433170
2057.4905,5.444830
2059.3542,5.451839
2061.2178,5.456821
2063.0815,5.482813
2064.9452,5.479127
2066.8088,5.500746
2068.6725,5.490643
2070.5362,5.487847
2072.3998,5.515271
2074.2635,5.563522
2076.1272,5.608364
2077.9908,5.566949
2079.8545,5.539072
2081.7182,5.590452
2083.5819,5.634729
2085.4455,5.653653
2087.3092,5.620193
2089.1729,5.589845
2091.0365,5.604441
2092.9002,5.657490
2094.7639,5.649320
2096.6275,5.620356
2098.4912,5.659880
2100.3549,5.684345
2102.2185,5.679267
2104.0822,5.672016
2105.9459,5.665613
2107.8095,5.696504
2109.6732,5.702675
2111.5369,5.682093
2113.4006,5.679276
2115.2642,5.709144
2117.1279,5.724394
2118.9916,5.711583
2120.8552,5.664547
2122.7189,5.683037
2124.5826,5.725338
2126.4462,5.714785
2128.3099,5.691222
2130.1736,5.707910
2132.0372,5.701122
2133.9009,5.670464
2135.7646,5.654531
2137.6282,5.690401
2139.4919,5.716441
2141.3556,5.727875
2143.2193,5.714161
2145.0829,5.721001
2146.9466,5.749420
2148.8103,5.768592
2150.6739,5.779978
2152.5376,5.782482
2154.4013,5.775780
2156.2649,5.819740
2158.1286,5.819964
2159.9923,5.813197
2161.8559,5.863548
2163.7196,5.926105
2165.5833,5.942955
2167.4470,5.915897
2169.3106,5.911005
2171.1743,5.959680
2173.0380,5.966889
2174.9016,5.952200
2176.7653,5.972410
2178.6290,5.990613
2180.4926,5.985015
2182.3563,5.995731
2184.2200,6.011802
2186.0836,6.022698
2187.9473,6.017551
2189.8110,6.016164
2191.6746,6.037648
2193.5383,6.062446
2195.4020,6.052776
2197.2657,6.069295
2199.1293,6.065312
2200.9930,6.075854
2202.8567,6.085689
2204.7203,6.061188
2206.5840,6.023854
2208.4477,6.079436
2210.3113,6.096671
2212.1750,6.084689
2214.0387,6.091334
2215.9023,6.075745
2217.7660,6.060305
2219.6297,6.078880
2221.4934,6.100073
2223.3570,6.110161
2225.2207,6.082362
2227.0844,6.058983
2228.9480,6.063485
2230.8117,6.080692
2232.6754,6.067685
2234.5390,6.070331
2236.4027,6.080106
2238.2664,6.107282
2240.1300,6.089563
2241.9937,6.072929
2243.8574,6.099126
2245.7210,6.128638
2247.5847,6.140776
2249.4484,6.174096
2251.3121,6.195507
2253.1757,6.220003
2255.0394,6.224946
2256.9031,6.207912
2258.7667,6.214182
2260.6304,6.234462
2262.4941,6.254382
2264.3577,6.284949
2266.2214,6.290976
2268.0851,6.315722
2269.9487,6.349250
2271.8124,6.370366
2273.6761,6.376640
2275.5397,6.358234
2277.4034,6.357275
2279.2671,6.409759
2281.1308,6.425003
2282.9944,6.411342
2284.8581,6.376465
2286.7218,6.376515
2288.5854,6.429046
2290.4491,6.456323
2292.3128,6.437814
2294.1764,6.455196
2296.0401,6.472597
2297.9038,6.467400
2299.7674,6.463732
2301.6311,6.463316
2303.4948,6.446873
2305.3585,6.462127
2307.2221,6.431681
2309.0858,6.430788
2310.9495,6.457091
2312.8131,6.453950
2314.6768,6.462558
2316.5405,6.499694
2318.4041,6.457321
2320.2678,6.412011
2322.1315,6.409613
2323.9951,6.457364
2325.8588,6.473489
2327.7225,6.460800
2329.5861,6.462941
2331.4498,6.494709
2333.3135,6.508040
2335.1772,6.481483
2337.0408,6.492791
2338.9045,6.514057
2340.7682,6.502384
2342.6318,6.482812
2344.4955,6.469204
2346.3592,6.523062
2348.2228,6.549383
2350.0865,6.552370
2351.9502,6.558636
2353.8138,6.614891
2355.6775,6.622768
2357.5412,6.594992
2359.4049,6.549343
2361.2685,6.592241
2363.1322,6.629472
2364.9959,6.661616
2366.8595,6.677546
2368.7232,6.663990
2370.5869,6.678093
2372.4505,6.707447
2374.3142,6.686346
2376.1779,6.670198
2378.0415,6.652619
2379.9052,6.691867
2381.7689,6.736540
2383.6325,6.746047
2385.4962,6.708237
2387.3599,6.736931
2389.2236,6.773685
2391.0872,6.755545
2392.9509,6.736101
2394.8146,6.761092
2396.6782,6.767525
2398.5419,6.771587
2400.4056,6.767873
2402.2692,6.766676
2404.1329,6.743737
2405.9966,6.746499
2407.8602,6.779668
2409.7239,6.825439
2411.5876,6.832057
2413.4512,6.800687
2415.3149,6.741230
2417.1786,6.741245
2419.0423,6.746206
2420.9059,6.751620
2422.7696,6.765660
2424.6333,6.793112
2426.4969,6.796877
2428.3606,6.795350
2430.2243,6.773028
2432.0879,6.786883
2433.9516,6.819283
2435.8153,6.832042
2437.6789,6.793568
2439.5426,6.769899
2441.4063,6.762225
2443.2700,6.754025
2445.1336,6.761633
2446.9973,6.749585
2448.8610,6.731707
2450.7246,6.754014
2452.5883,6.738110
2454.4520,6.737961
2456.3156,6.721923
2458.1793,6.724799
2460.0430,6.725521
2461.9066,6.693271
2463.7703,6.682101
2465.6340,6.676343
2467.4976,6.636113
2469.3613,6.627658
2471.2250,6.597783
2473.0887,6.578763
2474.9523,6.523347
2476.8160,6.474429
2478.6797,6.446705
2480.5433,6.421019
2482.4070,6.386290
2484.2707,6.334966
2486.1343,6.317031
2487.9980,6.322266
2489.8617,6.285417
2491.7253,6.207294
2493.5890,6.106365
2495.4527,6.040243
2497.3164,5.962962
2499.1800,5.920714
2501.0437,5.883643
2502.9074,5.832468
2504.7710,5.785001
2506.6347,5.742959
2508.4984,5.711665
2510.3620,5.706453
2512.2257,5.694319
2514.0894,5.663522
2515.9530,5.660997
2517.8167,5.700204
2519.6804,5.701954
2521.5440,5.696162
2523.4077,5.719395
2525.2714,5.744822
2527.1351,5.777721
2528.9987,5.823236
2530.8624,5.821874
2532.7261,5.831750
2534.5897,5.866364
2536.4534,5.901597
2538.3171,5.918499
2540.1807,5.939597
2542.0444,5.975386
2543.9081,6.023501
2545.7717,6.048507
2547.6354,6.063291
2549.4991,6.050693
2551.3627,6.081390
2553.2264,6.143833
2555.0901,6.200917
2556.9538,6.210431
2558.8174,6.225706
2560.6811,6.255314
2562.5448,6.271756
2564.4084,6.233305
2566.2721,6.232379
2568.1358,6.273507
2569.9994,6.351947
2571.8631,6.399817
2573.7268,6.390433
2575.5904,6.399199
2577.4541,6.421358
2579.3178,6.431750
2581.1815,6.478086
2583.0451,6.482385
2584.9088,6.473187
2586.7725,6.486161
2588.6361,6.511192
2590.4998,6.527705
2592.3635,6.530322
2594.2271,6.561883
2596.0908,6.586009
2597.9545,6.583140
2599.8181,6.563522
2601.6818,6.524607
2603.5455,6.526690
2605.4091,6.529465
2607.2728,6.523264
2609.1365,6.514955
2611.0002,6.497707
2612.8638,6.491346
2614.7275,6.504146
2616.5912,6.549212
2618.4548,6.572050
2620.3185,6.529674
2622.1822,6.556002
2624.0458,6.589030
2625.9095,6.592704
2627.7732,6.648766
2629.6368,6.747207
2631.5005,6.737727
2633.3642,6.738060
2635.2279,6.758209
2637.0915,6.787222
2638.9552,6.841537
2640.8189,6.900037
2642.6825,6.907519
2644.5462,6.903459
2646.4099,6.912915
2648.2735,6.971612
2650.1372,7.038521
2652.0009,7.034328
2653.8645,7.016858
2655.7282,7.091337
2657.5919,7.111400
2659.4555,7.113561
2661.3192,7.112643
2663.1829,7.102355
2665.0466,7.153510
2666.9102,7.215898
2668.7739,7.188126
2670.6376,7.194241
2672.5012,7.188457
2674.3649,7.195997
2676.2286,7.217695
2678.0922,7.188088
2679.9559,7.161811
2681.8196,7.196956
2683.6832,7.214710
2685.5469,7.228577
2687.4106,7.234095
2689.2742,7.249552
2691.1379,7.251126
2693.0016,7.203739
2694.8653,7.151804
2696.7289,7.193697
2698.5926,7.245097
2700.4563,7.279095
2702.3199,7.261896
2704.1836,7.228900
2706.0473,7.199379
2707.9109,7.189682
2709.7746,7.224779
2711.6383,7.245973
2713.5019,7.231528
2715.3656,7.236995
2717.2293,7.218338
2719.0930,7.219622
2720.9566,7.237062
2722.8203,7.242940
2724.6840,7.263188
2726.5476,7.240562
2728.4113,7.220904
2730.2750,7.260023
2732.1386,7.241169
2734.0023,7.180202
2735.8660,7.154549
2737.7296,7.221746
2739.5933,7.248649
2741.4570,7.202056
2743.3206,7.185447
2745.1843,7.207081
2747.0480,7.176615
2748.9117,7.138165
2750.7753,7.150400
2752.6390,7.163188
2754.5027,7.138849
2756.3663,7.149348
2758.2300,7.145983
2760.0937,7.116828
2761.9573,7.108016
2763.8210,7.112570
2765.6847,7.131341
2767.5483,7.131732
2769.4120,7.096304
2771.2757,7.123463
2773.1394,7.140801
2775.0030,7.094728
2776.8667,7.077593
2778.7304,7.064887
2780.5940,7.038885
2782.4577,7.049009
2784.3214,7.021289
2786.1850,6.978567
2788.0487,6.961936
2789.9124,6.919890
2791.7760,6.898098
2793.6397,6.964816
2795.5034,7.017248
2797.3670,6.972077
2799.2307,6.864806
2801.0944,6.855441
2802.9581,6.875330
2804.8217,6.845285
2806.6854,6.795144
2808.5491,6.813161
2810.4127,6.846317
2812.2764,6.805842
2814.1401,6.733887
2816.0037,6.687183
2817.8674,6.664018
2819.7311,6.672037
2821.5947,6.711043
2823.4584,6.730042
2825.3221,6.685765
2827.1857,6.638065
2829.0494,6.605464
2830.9131,6.584701
2832.7768,6.560052
2834.6404,6.551826
2836.5041,6.535131
2838.3678,6.504401
2840.2314,6.440129
2842.0951,6.417988
2843.9588,6.432277
2845.8224,6.455505
2847.6861,6.450645
2849.5498,6.385324
2851.4134,6.306429
2853.2771,6.310665
2855.1408,6.310761
2857.0045,6.276306
2858.8681,6.253725
2860.7318,6.213319
2862.5955,6.211796
2864.4591,6.252798
2866.3228,6.254281
2868.1865,6.232226
2870.0501,6.168242
2871.9138,6.136734
2873.7775,6.174063
2875.6411,6.161177
2877.5048,6.072781
2879.3685,6.052766
2881.2321,6.052958
2883.0958,6.031858
2884.9595,6.046980
2886.8232,6.098101
2888.6868,6.159104
2890.5505,6.182782
2892.4142,6.145160
2894.2778,6.129625
2896.1415,6.148894
2898.0052,6.148753
2899.8688,6.109262
2901.7325,6.110527
2903.5962,6.125876
2905.4598,6.134919
2907.3235,6.136429
2909.1872,6.142401
2911.0509,6.145795
2912.9145,6.146707
2914.7782,6.148853
2916.6419,6.133020
2918.5055,6.133714
2920.3692,6.128660
2922.2329,6.122228
2924.0965,6.100399
2925.9602,6.054528
2927.8239,6.083799
2929.6875,6.126470
2931.5512,6.135292
2933.4149,6.113196
2935.2785,6.075031
2937.1422,6.095895
2939.0059,6.145393
2940.8696,6.132511
2942.7332,6.121410
2944.5969,6.112153
2946.4606,6.065501
2948.3242,6.018608
2950.1879,6.037755
2952.0516,6.029910
2953.9152,5.962171
2955.7789,5.935757
2957.6426,5.973945
2959.5062,5.975138
2961.3699,5.975978
2963.2336,5.965201
2965.0972,5.918244
2966.9609,5.916647
2968.8246,5.934787
2970.6883,5.897971
2972.5519,5.864883
2974.4156,5.903114
2976.2793,5.957927
2978.1429,5.965629
2980.0066,5.888888
2981.8703,5.818429
2983.7339,5.830125
2985.5976,5.832922
2987.4613,5.815305
2989.3249,5.809196
2991.1886,5.811577
2993.0523,5.766046
2994.9160,5.722245
2996.7796,5.724872
2998.6433,5.764533
3000.5070,5.799205
3002.3706,5.813944
3004.2343,5.816014
3006.0980,5.788449
3007.9616,5.789511
3009.8253,5.834500
3011.6890,5.825677
3013.5526,5.764823
3015.4163,5.745727
3017.2800,5.770507
3019.1436,5.776992
3021.0073,5.753528
3022.8710,5.794476
3024.7347,5.873423
3026.5983,5.857031
3028.4620,5.820518
3030.3257,5.810045
3032.1893,5.822129
3034.0530,5.857603
3035.9167,5.883175
3037.7803,5.860267
3039.6440,5.825538
3041.5077,5.791481
3043.3713,5.796794
